id;name_normalized;status_id;created_by_user_id;updated_by_user_id;created_at;updated_at;deleted_at;type_code
1;coop;97;1;NULL;26/08/2026 19:00;NULL;NULL;3
2;carni e affini;97;1;NULL;26/08/2026 19:00;NULL;NULL;1
3;md;97;1;NULL;26/08/2026 19:00;NULL;NULL;1
4;lidl;97;1;NULL;26/08/2026 19:00;NULL;NULL;1
5;eurospin;97;1;NULL;26/08/2026 19:00;NULL;NULL;3
6;famila;97;1;NULL;26/08/2026 19:00;NULL;NULL;1
7;rio mare;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
8;galbani;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
9;danone;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
10;aia;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
11;proshop vieste;97;1;NULL;26/08/2026 19:00;NULL;NULL;1
12;mastrolindo;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
13;chanteclair;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
14;martucci uno;97;1;NULL;26/08/2026 19:00;NULL;NULL;1
15;regina;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
16;ferrero;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
17;wc net;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
18;milmil;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
19;montrone;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
20;beretta;97;1;NULL;26/08/2026 19:00;NULL;NULL;2
