id;author;text
1;Lucio Anneo Seneca;Non è perché le cose sono difficili che non osiamo, è perché non osiamo che sono difficili.
2;Marco Aurelio;Fai ogni cosa nella vita come se fosse l'ultima.
3;Mark Twain;Il segreto per andare avanti è iniziare.
4;Leonardo da Vinci;La semplicità è l'estrema perfezione.
5;Albert Einstein;Non possiamo pretendere che le cose cambino, se continuiamo a fare le stesse cose.
6;Steve Jobs;L'unico modo per fare un ottimo lavoro è amare quello che fai.
7;Denis Waitley;Ci sono sempre due scelte nella vita: accettare le condizioni in cui viviamo o assumersi la responsabilità di cambiarle.
8;Marco Aurelio;Non hai potere sugli eventi esterni, ma sulla tua mente. Comprendilo, e troverai la tua forza.
9;Dante Alighieri;Considerate la vostra semenza: fatti non foste a viver come bruti, ma per seguir virtute e canoscenza.
10;Rita Levi-Montalcini;Meglio aggiungere vita ai giorni, che non giorni alla vita.
11;Friedrich Nietzsche;Chi ha un perché per vivere può sopportare quasi ogni come.
12;Albert Einstein;La mente che si apre a una nuova idea non torna mai alla sua dimensione originale.
13;Lao Tzu;Un viaggio di mille miglia comincia con un solo passo.
14;Friedrich Nietzsche;Ciò che non mi distrugge mi rende più forte.
15;Jim Rohn;La disciplina è il ponte tra gli obiettivi e i risultati.
16;Nelson Mandela;Non conta quante volte cadi, ma quante volte ti rialzi.
17;Eleanor Roosevelt;Il futuro appartiene a coloro che credono nella bellezza dei propri sogni.
18;Marco Aurelio;L'ostacolo è la via.
19;Proverbio;Si impara poco dal successo, ma molto dal fallimento.
20;Mahatma Gandhi;Prima ti ignorano, poi ti deridono, poi ti combattono. Poi vinci.
21;Johann Wolfgang von Goethe;"Sapere non basta; dobbiamo applicare. Volere non basta; dobbiamo fare."
22;Aristotele;L'eccellenza non è un atto, ma un'abitudine.
23;Albert Einstein;La misura dell'intelligenza è data dalla capacità di cambiare.
24;Jean-Jacques Rousseau;La pazienza è amara, ma il suo frutto è dolce.
25;Mahatma Gandhi;Vivi come se dovessi morire domani. Impara come se dovessi vivere per sempre.
26;Robert Louis Stevenson;Non giudicare ogni giorno dal raccolto che ottieni, ma dai semi che pianti.
27;Pablo Picasso;L'azione è la chiave fondamentale di ogni successo.
28;Epitteto;Tutto ciò di cui hai bisogno è già dentro di te.
29;Mahatma Gandhi;Sii il cambiamento che vuoi vedere nel mondo.
30;Walt Disney;Se puoi sognarlo, puoi farlo.
31;Louis Pasteur;La fortuna favorisce la mente preparata.
32;Lao Tzu;Chi controlla se stesso non ha bisogno di controllare gli altri.
33;Lucio Anneo Seneca;Non c'è vento favorevole per il marinaio che non sa dove andare.
34;Albert Einstein;La creatività è l'intelligenza che si diverte.
35;Erasmo da Rotterdam;Nulla è difficile per chi ha buona volontà.
36;Pablo Picasso;Impara le regole come un professionista, così potrai infrangerle come un artista.
37;Marco Aurelio;La felicità della tua vita dipende dalla qualità dei tuoi pensieri.
38;Proverbio Cinese;Il miglior momento per piantare un albero era 20 anni fa. Il secondo miglior momento è adesso.
39;Confucio;L'uomo che sposta una montagna comincia portando via piccole pietre.
40;Steve Jobs;Non sprecare il tuo tempo cercando di vivere la vita di qualcun altro.
41;Buddha;La mente è tutto. Ciò che pensi, diventi.
42;James Clear;Piccole cose fatte costantemente portano a risultati straordinari.
43;Platone;Non dobbiamo aver paura del buio, ma di non accendere la nostra luce.
44;Fëdor Dostoevskij;La bellezza salverà il mondo.
45;Anonimo;Ogni giorno è una nuova opportunità per cambiare la tua vita.
46;Lucio Anneo Seneca;Prenditi cura del presente, perché è nel presente che costruisci il tuo futuro.
47;Cicerone;La calma interiore è il segreto di ogni grande decisione.
48;Pablo Picasso;L'ispirazione esiste, ma deve trovarti al lavoro.
49;Lao Tzu;Chi sa accontentarsi è sempre ricco.
50;Proverbio Orientale;Non temere di andare avanti lentamente, abbi solo paura di restare fermo.
